"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL1200332";"PROTRIPTYLINE HYDROCHLORIDE";"CONCORDIN-10|CONCORDIN-5|MK-240|NSC-169912|PROTRIPTYLINE HCL|PROTRIPTYLINE HYDROCHLORIDE|VIVACTIL";"Small molecule";"4.0";"299.85";"19";"74";"4.30";"12.03";"1";"1";"0";"4";"N";"0.81";"None";"10.54";"4.50";"1.61";"2";"MOL";"0";"20";"1";"1";"0";"263.1674";"0.44";"BASE";"C19H22ClN";"CNCCCC1c2ccccc2C=Cc2ccccc21.Cl";"OGQDIIKRQRZXJH-UHFFFAOYSA-N";"InChI=1S/C19H21N.ClH/c1-20-14-6-11-19-17-9-4-2-7-15(17)12-13-16-8-3-5-10-18(16)19;/h2-5,7-10,12-13,19-20H,6,11,14H2,1H3;1H";"False";"0";"['SID50106859', 'SID855990', 'SID50106858', 'PROTRIPTYLINE HYDROCHLORIDE', 'SID144203795', 'SID56422215', 'Protriptyline hydrochloride', 'PROTRIPTYLINE HYDROCHLORIDE', 'SID170465077', 'NCGC00094274-01', 'PROTRIPTYLINE HYDROCHLORIDE', 'Protriptyline hydrochloride', 'EOS100375']";"['SID50106859', 'SID855990', 'SID50106858', 'PROTRIPTYLINE HYDROCHLORIDE', 'SID144203795', 'SID56422215', 'Protriptyline hydrochloride', 'PROTRIPTYLINE HYDROCHLORIDE', 'SID170465077', 'Protriptyline hydrochloride', 'PROTRIPTYLINE HYDROCHLORIDE', 'Protriptyline hydrochloride', 'PROTRIPTYLINE HYDROCHLORIDE']"
"CHEMBL1200805";"DILTIAZEM MALATE";"DILTIAZEM MALATE|MK-793|TIAMATE";"Small molecule";"4.0";"548.61";"None";"None";"3.37";"59.08";"6";"0";"0";"6";"N";"0.68";"12.86";"8.18";"2.73";"1.89";"2";"MOL";"0";"29";"6";"0";"0";"414.1613";"-0.13";"NEUTRAL";"C26H32N2O9S";"COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.O=C(O)CC(O)C(=O)O";"IUSFTUWHKCSCDY-BHDTVMLSSA-N";"InChI=1S/C22H26N2O4S.C4H6O5/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3;5-2(4(8)9)1-3(6)7/h5-12,20-21H,13-14H2,1-4H3;2,5H,1H2,(H,6,7)(H,8,9)/t20-,21+;/m1./s1";"False";"0";"['DILTIAZEM MALATE', 'DILTIAZEM MALATE']";"['DILTIAZEM MALATE', 'DILTIAZEM MALATE']"
"CHEMBL5095241";"TUNLAMETINIB";"HL 085|HL-085|HL085|TUNLAMETINIB";"Small molecule";"2.0";"491.26";"None";"None";"3.58";"83.48";"6";"3";"0";"6";"N";"0.28";"10.13";"1.86";"4.60";"4.60";"3";"MOL";"0";"26";"6";"3";"0";"490.9612";"-1.46";"NEUTRAL";"C16H12F2IN3O3S";"O=C(NOCCO)c1cc2scnc2c(F)c1Nc1ccc(I)cc1F";"UFZJUVFSSINETF-UHFFFAOYSA-N";"InChI=1S/C16H12F2IN3O3S/c17-10-5-8(19)1-2-11(10)21-14-9(16(24)22-25-4-3-23)6-12-15(13(14)18)20-7-26-12/h1-2,5-7,21,23H,3-4H2,(H,22,24)";"False";"0";"['TUNLAMETINIB']";"['TUNLAMETINIB']"
"CHEMBL5314585";"GAMCEMETINIB";"BMS-986371|CC-99677|GAMCEMETINIB";"Small molecule";"2.0";"469.95";"None";"None";"4.77";"98.26";"8";"2";"0";"5";"N";"0.41";"None";"0.84";"4.49";"4.49";"4";"MOL";"0";"32";"8";"2";"0";"469.0975";"-0.65";"NEUTRAL";"C22H20ClN5O3S";"CCOCc1cnc(Cl)nc1Oc1ccc2c(ccc3sc4c(c32)NC[C@@H](C)NC4=O)n1";"PYOQIOLRFIRRSO-LLVKDONJSA-N";"InChI=1S/C22H20ClN5O3S/c1-3-30-10-12-9-25-22(23)28-21(12)31-16-7-4-13-14(27-16)5-6-15-17(13)18-19(32-15)20(29)26-11(2)8-24-18/h4-7,9,11,24H,3,8,10H2,1-2H3,(H,26,29)/t11-/m1/s1";"False";"0";"['GAMCEMETINIB', 'GAMCEMETINIB', 'GAMCEMETINIB']";"['GAMCEMETINIB', 'GAMCEMETINIB', 'GAMCEMETINIB']"
"CHEMBL3545000";"MK-2201";"MK-2201";"Small molecule";"1.0";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";"";"";"False";"0";"['MK-2201']";"['MK-2201']"
"CHEMBL1200797";"TECHNETIUM TC 99M SUCCIMER";"99MTC-DMSA|MPI DMSA KIDNEY REAGENT|NEPHROSCAN|TC-99M DMSA|TECHNETIUM (99MTC) DIMERCAPTOSUCCINIC ACID FOR INJECTION|TECHNETIUM (99MTC) SUCCIMER|TECHNETIUM TC 99M SUCCIMER|TECHNETIUM TC-99M SUCCIMER|TECHNETIUM TC-99M SUCCIMER KIT|TECHNETIUM-99 DIMERCAPTOSUCCINATE|TECHNETIUM-99-DMSA|Technetium (99Mtc) Succimer";"Small molecule";"4.0";"281.13";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"278.8771";"None";"None";"C4H6O4S2Tc";"";"";"";"False";"0";"['TECHNETIUM TC 99M SUCCIMER', 'TECHNETIUM TC 99M SUCCIMER', 'TECHNETIUM TC 99M SUCCIMER']";"['TECHNETIUM TC 99M SUCCIMER', 'TECHNETIUM TC 99M SUCCIMER', 'TECHNETIUM TC 99M SUCCIMER']"
"CHEMBL1762621";"BARDOXOLONE METHYL";"BARDOXOLONE METHYL|BARDOXOLONE METHYL ESTER|Bardoxolone Methyl|CDDO-METHYL ESTER|CDDO-Me|NSC 713200|NSC-713200|RTA 402|RTA-402|RTA402";"Small molecule";"3.0";"505.70";"103";"308";"6.38";"84.23";"5";"0";"2";"1";"N";"0.39";"None";"None";"6.55";"6.55";"0";"MOL";"0";"37";"5";"0";"2";"505.3192";"2.23";"NEUTRAL";"C32H43NO4";"COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2";"WPTTVJLTNAWYAO-KPOXMGGZSA-N";"InChI=1S/C32H43NO4/c1-27(2)11-13-32(26(36)37-8)14-12-31(7)24(20(32)17-27)21(34)15-23-29(5)16-19(18-33)25(35)28(3,4)22(29)9-10-30(23,31)6/h15-16,20,22,24H,9-14,17H2,1-8H3/t20-,22-,24-,29-,30+,31+,32-/m0/s1";"False";"0";"['SID532003', '25', 'CDDO-Me (2)', '4, CDDO-Me', '2', '3', 'CDDO-Me', 'SID144206780', 'CDDO-Me', 'CDDO-Me', '3, CDDO-Me', '1; CDDO-Me', 'BARD', 'BARDOXOLONE METHYL', '41; CDDO-Me', 'CDDO-Me', 'BARDOXOLONE METHYL', 'CDDO-Me', 'CDDO-Me', 'CDDO-Me', 'CDDO-Me', 'COVC-2282777017', 'CDDO-Me', 'BARDOXOLONE METHYL', 'Bardoxolone Methyl', '4; bardoxolone methyl', 'CDDO-ME; 2', '1; RTA402; CDDO-Me', 'Bardoxolone methyl', '46; CDDO-Me', '3', 'CDDO-Me', 'Bardoxolone Methyl', 'Bardoxolone Methyl', '10; CDDO-Me', 'BM', 'CDDO-Me', 'CDDO-Me']";"['SID532003', '11-Cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,3,4,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-hexadecahydro-2H-picene-4a-carboxylic acid methyl ester', '(4aS,6aR,6bS,8aR,12aS)-11-Cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,3,4,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-hexadecahydro-2H-picene-4a-carboxylic acid methyl ester', 'Bardoxolone methyl', '(4aS,6aR,6bS,8aR,12aS)-11-Cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,3,4,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-hexadecahydro-2H-picene-4a-carboxylic acid methyl ester', '(4aS,6aR,6bS,8aR,12aS)-11-Cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,3,4,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-hexadecahydro-2H-picene-4a-carboxylic acid methyl ester', '2-cyano-3,12-dioxo-oleana-1,9(11)-dien-28-oic acid methyl ester', 'SID144206780', 'methyl 2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oate', 'methyl-2-cyano-3,12-dioxooleane-1,9(11)-dien-28-oate', 'Bardoxolone methyl', '2-Cyano-3,12-dioxooleana-1,9(11)-dien-28-oic acid methyl ester; bardoxolone methyl', 'bardoxolone methyl', 'BARDOXOLONE METHYL', '(4aS,6aR,6bS,8aR,12aS,14aR,14bS)-methyl 11-cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-octadecahydropicene-4a-carboxylate', 'Bardoxolone methyl', 'BARDOXOLONE METHYL', '2-cyano-3,12-dioxoolean-1,9(11)-dien-28-oic acid methyl ester', '(4aS,6aR,6bS,8aR,12aS,14aR,14bS)-methyl 11-cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-octadecahydropicene-4a-carboxylate', 'Bardoxolone methyl', 'Bardoxolone methyl; Methyl 2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oate', 'BARDOXOLONE-METHYL', '(4aS,6aR,6bS,8aR,12aS,14aR,14bS)-methyl 11-cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-octadecahydropicene-4a-carboxylate', 'BARDOXOLONE METHYL', 'Bardoxolone Methyl', 'Methyl 2-cyano-3,12-dioxoolean-1,9(11)-dien-28-oate', 'Methyl 2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oate', 'Bardoxolone methyl', 'Bardoxolone methyl', '(4aS,6aR,6bS,8aR,12aS,14aR,14bS)-methyl 11-cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-octadecahydropicene-4a-carboxylate', 'Bardoxolone methyl', '(4aS,6aR,6bS,8aR,12aS,14aR,14bS)-methyl 11-cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-octadecahydropicene-4a-carboxylate', 'Bardoxolone Methyl', 'Bardoxolone Methyl', '(4aS,6aR,6bS,8aR,12aS,14aR,14bS)-methyl 11-cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,12a,14,14a,14b-octadecahydropicene-4a-carboxylate', 'Bardoxolone methyl', 'Bardoxolone methyl', 'bardoxolone methyl']"
"CHEMBL4594304";"DANICAMTIV";"DANICAMTIV|MYK-491|MYK491|SAR-440181|SAR440181";"Small molecule";"2.0";"435.43";"None";"None";"2.75";"110.33";"7";"1";"0";"5";"N";"0.77";"8.81";"None";"1.49";"1.47";"2";"MOL";"0";"29";"9";"1";"0";"435.1188";"-1.91";"NEUTRAL";"C16H20F3N5O4S";"Cn1cc(S(=O)(=O)[C@@](C)(F)C2CCN(C(=O)Nc3ccon3)CC2)c(C(F)F)n1";"NREKKBAMVWQRES-MRXNPFEDSA-N";"InChI=1S/C16H20F3N5O4S/c1-16(19,29(26,27)11-9-23(2)21-13(11)14(17)18)10-3-6-24(7-4-10)15(25)20-12-5-8-28-22-12/h5,8-10,14H,3-4,6-7H2,1-2H3,(H,20,22,25)/t16-/m1/s1";"False";"0";"['DANICAMTIV', 'DANICAMTIV']";"['DANICAMTIV', 'DANICAMTIV']"
"CHEMBL3991932";"PEXMETINIB";"ARRY-614|PEXMETINIB|Pexmetinib";"Small molecule";"2.0";"556.64";"300";"311";"6.07";"106.23";"7";"3";"2";"8";"N";"0.22";"12.59";"2.01";"5.84";"5.84";"5";"MOL";"0";"41";"9";"3";"2";"556.2598";"-2.02";"NEUTRAL";"C31H33FN6O3";"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1";"LNMRSSIMGCDUTP-UHFFFAOYSA-N";"InChI=1S/C31H33FN6O3/c1-20-5-8-24(9-6-20)38-29(17-28(36-38)31(2,3)4)35-30(40)33-18-22-15-23(32)7-12-27(22)41-25-10-11-26-21(16-25)19-34-37(26)13-14-39/h5-12,15-17,19,39H,13-14,18H2,1-4H3,(H2,33,35,40)";"False";"0";"['Pexmetinib', 'pexmetinib', 'Pexmetinib (ARRY-614)', 'pexmetinib', 'PEXMETINIB', 'PEXMETINIB (ARRY-614)', 'Pexmetinib (ARRY-614)', 'Pexmetinib (ARRY-614)', 'EOS100996', 'ARRY-614']";"['Pexmetinib', 'pexmetinib', 'Pexmetinib (ARRY-614)', 'pexmetinib', 'PEXMETINIB', 'PEXMETINIB (ARRY-614)', 'Pexmetinib (ARRY-614)', 'Pexmetinib (ARRY-614)', 'pexmetinib', 'Pexmetinib']"
"CHEMBL52333";"ROLOFYLLINE";"KW 3902|KW-3902|KW3902|MK-7418|ROLOFYLLINA|ROLOFYLLINE|Rolofylline";"Small molecule";"3.0";"356.47";"90";"1239";"2.78";"72.68";"5";"1";"0";"5";"N";"0.90";"8.40";"2.44";"3.23";"3.20";"2";"MOL";"0";"26";"6";"1";"0";"356.2212";"-0.29";"NEUTRAL";"C20H28N4O2";"CCCn1c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2n(CCC)c1=O";"PJBFVWGQFLYWCB-UHFFFAOYSA-N";"InChI=1S/C20H28N4O2/c1-3-5-23-16-15(17(25)24(6-4-2)19(23)26)21-18(22-16)20-10-12-7-13(11-20)9-14(20)8-12/h12-14H,3-11H2,1-2H3,(H,21,22)";"False";"0";"['43', 'KW-3902', 'ROLOFYLLINE', '2 (KW-3902)', '6, KW-3902', '24', '42', 'ROLOFYLLINE', 'KW-3902', '1', 'SID137275983', 'KW-3902', '3', 'KW-3902', 'KW-3902', '13', '76666', '3; KW-3902', 'IV', 'EUB0000396a', 'EUB0000396a', 'EUB0000396a', 'KW-3902', 'Rolofylline', '17; KW-3902', 'EUB0000396a', 'EUB0000396a']";"['8-(Hexahydro-2,5-methano-pentalen-3a-yl)-1,3-dipropyl-3,7-dihydro-purine-2,6-dione', 'KW-3902', 'ROLOFYLLINE', '8-(Hexahydro-2,5-methano-pentalen-3a-yl)-1,3-dipropyl-3,7-dihydro-purine-2,6-dione', '8-(Hexahydro-2,5-methano-pentalen-3a-yl)-3-methyl-1-propyl-3,7-dihydro-purine-2,6-dione', '8-(Hexahydro-2,5-methano-pentalen-3a-yl)-1,3-dipropyl-3,7-dihydro-purine-2,6-dione', '8-(Hexahydro-2,5-methano-pentalen-3a-yl)-1,3-dipropyl-3,7-dihydro-purine-2,6-dione', 'ROLOFYLLINE', 'KW-3902', 'Rolofylline', 'SID137275983', 'KW-3902', '8-(Hexahydro-2,5-methano-pentalen-3a-yl)-1,3-dipropyl-3,7-dihydro-purine-2,6-dione', 'KW-3902', 'KW-3902', '8-(Hexahydro-2,5-methano-pentalen-3a-yl)-1,3-dipropyl-3,7-dihydro-purine-2,6-dione', None, 'Rolofylline', 'Rolofylline', 'KW 3902', 'KW 3902', 'KW 3902', 'KW-3902', 'Rolofylline', '1,3-Dipropyl-8-(3-noradamantyl)-xanthine', 'KW 3902', 'KW 3902']"
